"Address","Coordinates"
"8134 Soodstrasse, Adliswil ","8.5247503,47.317276499999835"
"8134 Albisstrasse, Adliswil ","8.5258311,47.309321800000205"
"8134 Soodring, Adliswil ","8.520442899999994,47.31657970000012"
"2558 Bielstrasse, Aegerten ","7.287148600000026,47.122143900000204"
"2558 Bielstrasse, Aegerten ","7.287219300000025,47.12194960000021"
"2558 Bielstrasse, Aegerten ","7.286861799999979,47.12220810000012"
"2558 Bielstrasse, Aegerten ","7.286775800000026,47.1221530000002"
"2558 Bielstrasse, Aegerten ","7.286684799999981,47.122209299999994"
"2558 Bielstrasse, Aegerten ","7.2868039000000255,47.12200310000021"
"4147 Neuhofweg, Aesch Basel-Landschaft","7.594890200000003,47.47845070000024"
"8412 Anna-Huber-Weg, Aesch Basel-Landschaft","8.6791684,47.5415454"
"8412 Anna-Huber-Weg, Aesch Basel-Landschaft","8.6791524,47.541588399999995"
"3703 Allmigaessli, Aesch Basel-Landschaft","7.730464300000007,46.64636130000046"
"8412 Rosswettistrasse, Aesch Basel-Landschaft","8.678290800000031,47.54130870000023"
"8412 Rosswettistrasse, Aesch Basel-Landschaft","8.678230000000031,47.54133860000023"
"4147 St. Jakobstrasse, Aesch Basel-Landschaft","7.597947500000013,47.47579329999999"
"4147 St. Jakobstrasse, Aesch Basel-Landschaft","7.597899200000014,47.47598589999999"
"4147 St. Jakobstrasse, Aesch Basel-Landschaft","7.598215000000013,47.475851299999995"
"4147 Obereggweg, Aesch Basel-Landschaft","7.598189300000024,47.47680970000014"
"4147 Obereggweg, Aesch Basel-Landschaft","7.598674300000024,47.47681460000014"
"4147 Obereggweg, Aesch Basel-Landschaft","7.5990457000000236,47.47681720000014"
"4147 Obereggweg, Aesch Basel-Landschaft","7.599146500000024,47.47680600000014"
"4147 St. Jakobstrasse, Aesch Basel-Landschaft","7.597651700000024,47.47932500000014"
"4147 St. Jakobstrasse, Aesch Basel-Landschaft","7.5976110000000245,47.479496200000135"
"4147 St. Jakobstrasse, Aesch Basel-Landschaft","7.597568900000025,47.479673100000134"
"4147 St. Jakobstrasse, Aesch Basel-Landschaft","7.597531600000025,47.479830100000136"
"4147 St. Jakobstrasse, Aesch Basel-Landschaft","7.598299400000024,47.479374600000135"
"4147 St. Jakobstrasse, Aesch Basel-Landschaft","7.5982799000000245,47.47955420000014"
"4147 St. Jakobstrasse, Aesch Basel-Landschaft","7.598261700000024,47.47972140000014"
"4147 St. Jakobstrasse, Aesch Basel-Landschaft","7.598244900000024,47.479875600000135"
"4147 St. Jakobstrasse, Aesch Basel-Landschaft","7.598408899999946,47.47602710000068"
"4147 St. Jakobstrasse, Aesch Basel-Landschaft","7.598126599999945,47.47617310000067"
"4147 St. Jakobstrasse, Aesch Basel-Landschaft","7.598276999999944,47.47635970000068"
"4147 St. Jakobstrasse, Aesch Basel-Landschaft","7.5980407999999455,47.47649120000068"
